file,group,note,octave,sample_rate_hz,duration_s,attack_time_s,decay_time_s,brightness_start_hz,brightness_end_hz,brightness_change_pct,brightness_frames_trusted,brightness_frames_total
Recordings/Sample Recordings/ff/piano_single_A2.wav,ff,A,2,44100,6.0,0.64,5.35,875.4,1166.7,29.1,200,260
Recordings/Sample Recordings/ff/piano_single_A3.wav,ff,A,3,44100,6.0,0.84,3.8,1247.0,1043.2,-17.8,131,260
Recordings/Sample Recordings/ff/piano_single_A4.wav,ff,A,4,44100,3.78,0.29,2.52,982.1,1050.4,6.7,32,164
Recordings/Sample Recordings/ff/piano_single_A5.wav,ff,A,5,44100,3.04,0.39,1.39,1122.5,1238.1,9.8,13,132
Recordings/Sample Recordings/ff/piano_single_Ab2.wav,ff,Ab,2,44100,6.0,0.71,4.42,946.9,939.8,-0.7,210,260
Recordings/Sample Recordings/ff/piano_single_Ab3.wav,ff,Ab,3,44100,6.0,0.83,4.25,1188.0,1167.5,-1.7,107,260
Recordings/Sample Recordings/ff/piano_single_Ab4.wav,ff,Ab,4,44100,2.63,0.56,0.79,1046.9,994.9,-5.1,39,115
Recordings/Sample Recordings/ff/piano_single_Ab5.wav,ff,Ab,5,44100,2.77,0.39,1.21,1146.3,1071.5,-6.8,24,121
Recordings/Sample Recordings/ff/piano_single_B2.wav,ff,B,2,44100,6.0,0.67,4.04,878.8,1135.3,25.5,191,260
Recordings/Sample Recordings/ff/piano_single_B3.wav,ff,B,3,44100,5.48,0.6,3.28,1130.3,1234.1,8.8,97,238
Recordings/Sample Recordings/ff/piano_single_B4.wav,ff,B,4,44100,1.31,0.54,0.41,920.8,1395.9,43.3,27,58
Recordings/Sample Recordings/ff/piano_single_B5.wav,ff,B,5,44100,2.0,0.64,0.98,1248.4,2726.6,74.4,43,88
Recordings/Sample Recordings/ff/piano_single_Bb2.wav,ff,Bb,2,44100,6.0,0.59,5.09,963.3,925.3,-4.0,178,260
Recordings/Sample Recordings/ff/piano_single_Bb3.wav,ff,Bb,3,44100,6.0,0.29,2.38,1059.0,924.1,-13.6,46,260
Recordings/Sample Recordings/ff/piano_single_Bb4.wav,ff,Bb,4,44100,2.85,0.47,0.91,1536.7,1221.4,-22.9,32,124
Recordings/Sample Recordings/ff/piano_single_Bb5.wav,ff,Bb,5,44100,2.09,0.46,0.77,1149.4,1515.7,27.5,17,92
Recordings/Sample Recordings/ff/piano_single_C2.wav,ff,C,2,44100,6.0,0.26,5.73,890.8,947.8,6.2,122,260
Recordings/Sample Recordings/ff/piano_single_C3.wav,ff,C,3,44100,6.0,0.63,5.01,874.5,1074.6,21.1,173,260
Recordings/Sample Recordings/ff/piano_single_C4.wav,ff,C,4,44100,4.17,0.6,1.97,957.4,1284.9,29.2,65,181
Recordings/Sample Recordings/ff/piano_single_C5.wav,ff,C,5,44100,2.52,0.28,1.58,1159.6,932.7,-21.7,60,110
Recordings/Sample Recordings/ff/piano_single_D2.wav,ff,D,2,44100,6.0,0.46,5.36,818.0,962.2,16.2,171,260
Recordings/Sample Recordings/ff/piano_single_D3.wav,ff,D,3,44100,6.0,0.56,2.8,833.7,1027.0,20.8,97,260
Recordings/Sample Recordings/ff/piano_single_D4.wav,ff,D,4,44100,3.01,0.73,1.06,1050.0,1038.8,-1.1,52,131
Recordings/Sample Recordings/ff/piano_single_D5.wav,ff,D,5,44100,3.94,0.45,2.25,1053.5,1039.2,-1.4,46,171
Recordings/Sample Recordings/ff/piano_single_Db2.wav,ff,Db,2,44100,6.0,0.36,4.44,1055.2,934.1,-12.2,167,260
Recordings/Sample Recordings/ff/piano_single_Db3.wav,ff,Db,3,44100,4.93,0.68,3.3,889.9,959.2,7.5,126,214
Recordings/Sample Recordings/ff/piano_single_Db4.wav,ff,Db,4,44100,4.51,0.63,1.4,911.7,1270.6,32.9,71,196
Recordings/Sample Recordings/ff/piano_single_Db5.wav,ff,Db,5,44100,4.64,0.68,2.89,1163.9,708.7,-46.7,87,201
Recordings/Sample Recordings/ff/piano_single_E2.wav,ff,E,2,44100,6.0,0.49,4.68,945.5,1016.4,7.2,149,260
Recordings/Sample Recordings/ff/piano_single_E3.wav,ff,E,3,44100,6.0,0.81,2.04,835.1,1191.8,37.0,164,260
Recordings/Sample Recordings/ff/piano_single_E4.wav,ff,E,4,44100,4.9,0.77,1.86,1086.5,1563.1,39.2,97,213
Recordings/Sample Recordings/ff/piano_single_E5.wav,ff,E,5,44100,3.18,0.66,1.37,940.9,1030.1,9.0,64,138
Recordings/Sample Recordings/ff/piano_single_Eb2.wav,ff,Eb,2,44100,6.0,0.33,4.54,941.6,964.1,2.4,122,260
Recordings/Sample Recordings/ff/piano_single_Eb3.wav,ff,Eb,3,44100,6.0,0.38,5.17,827.4,1002.0,19.1,70,260
Recordings/Sample Recordings/ff/piano_single_Eb4.wav,ff,Eb,4,44100,4.02,0.65,1.63,1177.9,1337.4,12.7,63,175
Recordings/Sample Recordings/ff/piano_single_Eb5.wav,ff,Eb,5,44100,2.84,0.75,1.2,1081.5,939.1,-14.1,55,124
Recordings/Sample Recordings/ff/piano_single_F2.wav,ff,F,2,44100,5.09,0.57,2.6,845.8,826.3,-2.3,156,221
Recordings/Sample Recordings/ff/piano_single_F3.wav,ff,F,3,44100,6.0,1.05,2.42,823.9,1305.3,49.1,143,260
Recordings/Sample Recordings/ff/piano_single_F4.wav,ff,F,4,44100,2.46,0.68,0.74,748.7,1783.6,88.5,65,107
Recordings/Sample Recordings/ff/piano_single_F5.wav,ff,F,5,44100,3.36,0.78,0.46,1199.0,1362.3,12.8,46,146
Recordings/Sample Recordings/ff/piano_single_G2.wav,ff,G,2,44100,6.0,0.51,4.11,943.9,995.4,5.3,137,260
Recordings/Sample Recordings/ff/piano_single_G3.wav,ff,G,3,44100,6.0,0.51,3.56,918.8,856.8,-7.0,89,260
Recordings/Sample Recordings/ff/piano_single_G4.wav,ff,G,4,44100,3.33,0.71,1.59,911.5,1290.7,34.4,75,145
Recordings/Sample Recordings/ff/piano_single_G5.wav,ff,G,5,44100,2.11,0.48,1.21,1158.0,1614.9,33.0,18,92
Recordings/Sample Recordings/ff/piano_single_Gb2.wav,ff,Gb,2,44100,6.0,0.42,4.97,926.9,793.7,-15.5,207,260
Recordings/Sample Recordings/ff/piano_single_Gb3.wav,ff,Gb,3,44100,5.67,0.39,4.38,819.1,878.7,7.0,79,246
Recordings/Sample Recordings/ff/piano_single_Gb4.wav,ff,Gb,4,44100,3.65,0.44,2.69,963.0,1284.5,29.0,30,159
Recordings/Sample Recordings/ff/piano_single_Gb5.wav,ff,Gb,5,44100,2.77,0.5,1.51,1139.0,989.9,-14.0,8,121
Recordings/Sample Recordings/mf/piano_single_A2.wav,mf,A,2,44100,6.45,0.46,5.98,673.6,804.7,17.7,56,279
Recordings/Sample Recordings/mf/piano_single_A3.wav,mf,A,3,44100,6.55,0.57,3.95,982.6,1142.8,15.1,24,284
Recordings/Sample Recordings/mf/piano_single_A4.wav,mf,A,4,44100,4.2,0.3,2.62,783.2,883.5,12.0,14,182
Recordings/Sample Recordings/mf/piano_single_A5.wav,mf,A,5,44100,3.6,0.29,1.63,883.9,1285.8,37.0,7,157
Recordings/Sample Recordings/mf/piano_single_Ab2.wav,mf,Ab,2,44100,6.7,0.67,5.98,606.5,845.3,32.9,67,290
Recordings/Sample Recordings/mf/piano_single_Ab3.wav,mf,Ab,3,44100,6.55,0.55,5.99,1083.1,1300.7,18.3,60,284
Recordings/Sample Recordings/mf/piano_single_Ab4.wav,mf,Ab,4,44100,2.6,0.31,0.8,819.0,901.8,9.6,24,113
Recordings/Sample Recordings/mf/piano_single_Ab5.wav,mf,Ab,5,44100,4.05,0.39,1.88,854.3,1095.6,24.8,6,176
Recordings/Sample Recordings/mf/piano_single_B2.wav,mf,B,2,44100,6.4,0.38,4.18,676.4,741.9,9.2,48,277
Recordings/Sample Recordings/mf/piano_single_B3.wav,mf,B,3,44100,6.65,0.64,3.39,846.9,1086.5,24.8,25,288
Recordings/Sample Recordings/mf/piano_single_B4.wav,mf,B,4,44100,1.45,0.49,0.42,524.8,2196.8,165.3,25,64
Recordings/Sample Recordings/mf/piano_single_B5.wav,mf,B,5,44100,2.95,0.58,1.03,928.0,1254.3,29.9,8,129
Recordings/Sample Recordings/mf/piano_single_Bb2.wav,mf,Bb,2,44100,6.3,0.34,5.46,775.0,694.0,-11.0,34,273
Recordings/Sample Recordings/mf/piano_single_Bb3.wav,mf,Bb,3,44100,6.5,0.54,5.27,849.2,867.4,2.1,24,281
Recordings/Sample Recordings/mf/piano_single_Bb4.wav,mf,Bb,4,44100,5.1,0.26,1.15,944.0,1421.5,40.4,14,221
Recordings/Sample Recordings/mf/piano_single_Bb5.wav,mf,Bb,5,44100,2.7,0.37,1.34,979.6,1095.5,11.2,7,118
Recordings/Sample Recordings/mf/piano_single_C2.wav,mf,C,2,44100,6.45,0.48,5.96,752.4,979.5,26.2,174,279
Recordings/Sample Recordings/mf/piano_single_C3.wav,mf,C,3,44100,6.6,0.59,5.82,638.9,1121.0,54.8,91,286
Recordings/Sample Recordings/mf/piano_single_C4.wav,mf,C,4,44100,4.45,0.38,2.21,635.7,819.9,25.3,19,193
Recordings/Sample Recordings/mf/piano_single_C5.wav,mf,C,5,44100,3.2,0.47,1.91,667.6,1014.6,41.3,18,139
Recordings/Sample Recordings/mf/piano_single_D2.wav,mf,D,2,44100,6.75,0.78,5.81,655.8,1087.9,49.6,146,292
Recordings/Sample Recordings/mf/piano_single_D3.wav,mf,D,3,44100,6.9,0.93,3.89,653.7,1020.1,43.8,65,299
Recordings/Sample Recordings/mf/piano_single_D4.wav,mf,D,4,44100,3.8,0.42,1.03,856.5,1135.9,28.0,35,165
Recordings/Sample Recordings/mf/piano_single_D5.wav,mf,D,5,44100,6.1,0.25,2.97,799.4,825.1,3.2,9,264
Recordings/Sample Recordings/mf/piano_single_Db2.wav,mf,Db,2,44100,6.6,0.62,5.36,765.0,972.9,23.9,116,286
Recordings/Sample Recordings/mf/piano_single_Db3.wav,mf,Db,3,44100,6.5,0.46,3.61,749.4,841.5,11.6,70,281
Recordings/Sample Recordings/mf/piano_single_Db4.wav,mf,Db,4,44100,5.1,0.58,2.3,660.2,942.8,35.3,23,221
Recordings/Sample Recordings/mf/piano_single_Db5.wav,mf,Db,5,44100,6.3,0.34,2.99,737.9,860.3,15.3,15,273
Recordings/Sample Recordings/mf/piano_single_E2.wav,mf,E,2,44100,6.7,0.69,4.04,696.0,1166.0,50.5,133,290
Recordings/Sample Recordings/mf/piano_single_E3.wav,mf,E,3,44100,6.2,0.21,2.23,709.0,637.0,-10.7,26,269
Recordings/Sample Recordings/mf/piano_single_E4.wav,mf,E,4,44100,6.0,0.36,1.97,889.2,968.6,8.5,19,260
Recordings/Sample Recordings/mf/piano_single_E5.wav,mf,E,5,44100,3.2,0.48,2.07,846.6,1112.4,27.1,33,139
Recordings/Sample Recordings/mf/piano_single_Eb2.wav,mf,Eb,2,44100,6.5,0.52,4.55,754.6,1014.6,29.4,121,281
Recordings/Sample Recordings/mf/piano_single_Eb3.wav,mf,Eb,3,44100,6.15,0.17,5.55,756.0,668.3,-12.3,20,266
Recordings/Sample Recordings/mf/piano_single_Eb4.wav,mf,Eb,4,44100,4.8,0.32,1.67,854.3,1127.2,27.5,18,208
Recordings/Sample Recordings/mf/piano_single_Eb5.wav,mf,Eb,5,44100,3.5,0.54,1.71,767.2,862.1,11.7,11,152
Recordings/Sample Recordings/mf/piano_single_F2.wav,mf,F,2,44100,6.5,0.53,2.85,602.1,915.8,41.3,71,281
Recordings/Sample Recordings/mf/piano_single_F3.wav,mf,F,3,44100,5.7,0.21,1.53,549.8,680.6,21.3,22,247
Recordings/Sample Recordings/mf/piano_single_F4.wav,mf,F,4,44100,2.4,0.52,0.68,720.1,1093.6,41.2,27,105
Recordings/Sample Recordings/mf/piano_single_F5.wav,mf,F,5,44100,3.35,0.4,0.49,736.4,1393.8,61.7,17,146
Recordings/Sample Recordings/mf/piano_single_G2.wav,mf,G,2,44100,6.2,0.2,4.64,691.9,693.9,0.3,14,269
Recordings/Sample Recordings/mf/piano_single_G3.wav,mf,G,3,44100,6.6,0.61,3.78,775.6,1452.5,60.9,117,286
Recordings/Sample Recordings/mf/piano_single_G4.wav,mf,G,4,44100,5.05,0.4,1.8,801.8,980.1,20.0,29,219
Recordings/Sample Recordings/mf/piano_single_G5.wav,mf,G,5,44100,6.4,0.39,1.27,933.5,948.1,1.5,4,277
Recordings/Sample Recordings/mf/piano_single_Gb2.wav,mf,Gb,2,44100,6.5,0.51,5.67,589.0,721.1,20.2,31,281
Recordings/Sample Recordings/mf/piano_single_Gb3.wav,mf,Gb,3,44100,6.45,0.45,4.44,691.6,919.6,28.3,62,279
Recordings/Sample Recordings/mf/piano_single_Gb4.wav,mf,Gb,4,44100,6.45,0.47,2.66,842.9,925.9,9.4,18,279
Recordings/Sample Recordings/mf/piano_single_Gb5.wav,mf,Gb,5,44100,3.1,0.4,1.92,1021.0,1148.1,11.7,26,135
Recordings/Sample Recordings/pp/piano_single_A2.wav,pp,A,2,44100,6.0,0.23,5.76,,,,0,260
Recordings/Sample Recordings/pp/piano_single_A3.wav,pp,A,3,44100,6.0,0.54,5.45,931.5,973.4,4.4,5,260
Recordings/Sample Recordings/pp/piano_single_A4.wav,pp,A,4,44100,6.0,0.25,5.74,,,,0,260
Recordings/Sample Recordings/pp/piano_single_A5.wav,pp,A,5,44100,6.0,0.17,5.82,,,,0,260
Recordings/Sample Recordings/pp/piano_single_Ab2.wav,pp,Ab,2,44100,6.0,0.47,5.52,,,,1,260
Recordings/Sample Recordings/pp/piano_single_Ab3.wav,pp,Ab,3,44100,6.0,0.73,5.26,,,,1,260
Recordings/Sample Recordings/pp/piano_single_Ab4.wav,pp,Ab,4,44100,6.0,0.21,5.78,,,,0,260
Recordings/Sample Recordings/pp/piano_single_Ab5.wav,pp,Ab,5,44100,6.0,0.19,5.8,,,,0,260
Recordings/Sample Recordings/pp/piano_single_B2.wav,pp,B,2,44100,6.0,0.37,5.46,586.7,648.1,9.9,6,260
Recordings/Sample Recordings/pp/piano_single_B3.wav,pp,B,3,44100,6.0,0.35,5.64,,,,1,260
Recordings/Sample Recordings/pp/piano_single_B4.wav,pp,B,4,44100,2.95,0.29,0.4,626.1,617.1,-1.5,5,129
Recordings/Sample Recordings/pp/piano_single_B5.wav,pp,B,5,44100,6.0,0.25,5.74,,,,0,260
Recordings/Sample Recordings/pp/piano_single_Bb2.wav,pp,Bb,2,44100,6.0,0.32,5.67,,,,0,260
Recordings/Sample Recordings/pp/piano_single_Bb3.wav,pp,Bb,3,44100,6.0,0.34,5.65,,,,0,260
Recordings/Sample Recordings/pp/piano_single_Bb4.wav,pp,Bb,4,44100,6.0,0.28,5.71,,,,1,260
Recordings/Sample Recordings/pp/piano_single_Bb5.wav,pp,Bb,5,44100,6.0,0.25,5.74,,,,0,260
Recordings/Sample Recordings/pp/piano_single_C2.wav,pp,C,2,44100,6.0,0.52,5.47,556.7,605.9,8.5,6,260
Recordings/Sample Recordings/pp/piano_single_C3.wav,pp,C,3,44100,6.0,0.57,5.42,,,,1,260
Recordings/Sample Recordings/pp/piano_single_C4.wav,pp,C,4,44100,6.0,0.53,5.46,,,,0,260
Recordings/Sample Recordings/pp/piano_single_C5.wav,pp,C,5,44100,6.0,0.5,5.49,722.0,790.8,9.1,4,260
Recordings/Sample Recordings/pp/piano_single_D2.wav,pp,D,2,44100,6.0,0.4,5.59,564.5,625.5,10.2,14,260
Recordings/Sample Recordings/pp/piano_single_D3.wav,pp,D,3,44100,6.0,0.45,5.54,,,,0,260
Recordings/Sample Recordings/pp/piano_single_D4.wav,pp,D,4,44100,6.0,0.17,5.82,,,,0,260
Recordings/Sample Recordings/pp/piano_single_D5.wav,pp,D,5,44100,6.0,0.27,5.72,,,,0,260
Recordings/Sample Recordings/pp/piano_single_Db2.wav,pp,Db,2,44100,6.0,0.45,5.54,,,,0,260
Recordings/Sample Recordings/pp/piano_single_Db3.wav,pp,Db,3,44100,6.0,0.23,5.76,,,,0,260
Recordings/Sample Recordings/pp/piano_single_Db4.wav,pp,Db,4,44100,6.0,0.53,5.46,607.7,703.9,14.7,7,260
Recordings/Sample Recordings/pp/piano_single_Db5.wav,pp,Db,5,44100,6.0,0.25,5.74,,,,0,260
Recordings/Sample Recordings/pp/piano_single_E2.wav,pp,E,2,44100,6.0,0.3,5.69,,,,0,260
Recordings/Sample Recordings/pp/piano_single_E3.wav,pp,E,3,44100,6.0,0.25,5.74,519.5,548.8,5.5,5,260
Recordings/Sample Recordings/pp/piano_single_E4.wav,pp,E,4,44100,6.0,0.7,5.29,759.5,805.8,5.9,4,260
Recordings/Sample Recordings/pp/piano_single_E5.wav,pp,E,5,44100,6.0,0.21,4.06,,,,1,260
Recordings/Sample Recordings/pp/piano_single_Eb2.wav,pp,Eb,2,44100,6.0,0.31,5.68,,,,0,260
Recordings/Sample Recordings/pp/piano_single_Eb3.wav,pp,Eb,3,44100,6.0,0.43,5.56,653.6,656.9,0.5,8,260
Recordings/Sample Recordings/pp/piano_single_Eb4.wav,pp,Eb,4,44100,6.0,0.64,5.35,,,,2,260
Recordings/Sample Recordings/pp/piano_single_Eb5.wav,pp,Eb,5,44100,6.0,0.21,5.76,,,,0,260
Recordings/Sample Recordings/pp/piano_single_F2.wav,pp,F,2,44100,6.0,0.45,5.54,443.4,428.1,-3.5,10,260
Recordings/Sample Recordings/pp/piano_single_F3.wav,pp,F,3,44100,6.0,0.87,5.12,1432.9,3094.0,73.4,228,260
Recordings/Sample Recordings/pp/piano_single_F4.wav,pp,F,4,44100,6.0,0.4,5.57,681.1,608.6,-11.2,4,260
Recordings/Sample Recordings/pp/piano_single_F5.wav,pp,F,5,44100,6.0,0.2,5.77,,,,0,260
Recordings/Sample Recordings/pp/piano_single_G2.wav,pp,G,2,44100,6.0,0.69,5.3,,,,0,260
Recordings/Sample Recordings/pp/piano_single_G3.wav,pp,G,3,44100,6.0,0.55,5.44,,,,0,260
Recordings/Sample Recordings/pp/piano_single_G4.wav,pp,G,4,44100,6.0,0.26,5.73,,,,1,260
Recordings/Sample Recordings/pp/piano_single_G5.wav,pp,G,5,44100,6.0,0.26,5.73,,,,2,260
Recordings/Sample Recordings/pp/piano_single_Gb2.wav,pp,Gb,2,44100,6.0,0.37,5.62,,,,0,260
Recordings/Sample Recordings/pp/piano_single_Gb3.wav,pp,Gb,3,44100,6.0,0.47,5.52,625.6,726.0,14.9,7,260
Recordings/Sample Recordings/pp/piano_single_Gb4.wav,pp,Gb,4,44100,6.0,0.38,5.61,,,,0,260
Recordings/Sample Recordings/pp/piano_single_Gb5.wav,pp,Gb,5,44100,6.0,0.12,5.87,,,,0,260
